tr isim,os_isim 
Cengiz, جنكيز
Cenker, جنكر
Ceren, جرن
Cevdet, جودت
Cihangir, جهانگیر
Coşkun, جوشقون
Cüneyt, جنيد
Cüneyd, جنيد
Çağla, چاغلا
Çiçek, چيچك
Çiğdem, چيكدم
Damla, داملا
Davut, داود
Davud, داود
Deniz, دگيز
Derya, دریا
Devlet, دولت
Dilara, دلآرا
Dilber, دلبر
Dilek, ديلك
Döne, دونه
Durdu, دوردو
Dursune, دورسونه
Dürdane, دُردانه
Ebru, ابرو
Ece, اجه
Ecehan, اجه خان
Ecmel, اجمل
Eda, أدا
Ekrem, اَکرم
Elif, الف
Elmas, الماس
Elvan, الف
Emel, أمل
Emral, أمرال
Eray, أراى
Erhan, أرخان
Erkan, اَرکان
Erman, ایرمان
Erol, أرول
Ertuğrul, أرتوغرول
Esengül, اسنكل
Esra, أسرا
Evren, اورن
Fadime, فاطمه
Fatoş, فاطوش
Fazilet, فَضیلت
Fehime, فهيمه
Feramuz, فرامز
Ferhat, فَرحت
Feriha, فرحه
Ferişte, فرشته
Fethiye, فتحيه
Feyza, فيضا
Fırat, فرات
Figen, فيكن
Fikriye, فكريه
Filiz, فيليز
Firdevs, فردوس
Fuad, فؤاد
Fuat, فؤاد
Galib, غالب
Gamze, غمزه
Gazali, غزالى
Gazi, غازى
Gonca, غنجه
Gökçe, كوكچه
Gökhan, كوكحان
Gökmen, كوكمن
Göksel, كوكسل
Gökşen, كوكشن
Göktay, كوكطى
Gönül, كوڭل
Görkem, كوركم
Gözde, كوزده
Gülay, كُلاى
Gülcan, كُلجان
Gülden, كلدن
Güler, كولر
Gülhan, كولخان
Gülistan, كلستان
Gülizar, كُلعذار
Gülnaz, كلناز
Gülsen, كولسن
Gülser, كُلسر
Gülseren, كُلسرن
Gülşah, كلشاه
Günay, كناى
Günseli, كونسلى
Gürbüz, كربز
Gürcan, كورجان
Haluk, خلوق
Hamdiye, حمديه
Hamide, حمیده
Handan, خندان
Hanım, خانم
Halis, خالص
Hanifi, حنيفى
Hasbiye, حسبيه
Hasibe, حَسیبه
Hatem, حاتم
Havva, حوّا
Havvagül, حوّا كل
Havva Gül, حوّا كل
Hediye, هدیه
Huri, حوری
Huriye, حوریه
Huruşan, خروشان
Hülya, خوليا
Hümeyra, حميراء
Hüsne, حسنه
İfakat, افاقت
İklime, اِقلیما
İlknur, ايلكنور
İmren, إمرن
İnci, اينجى
İsa, عیسی
Kadri, قدري
Kadriye, قدريه
Kaniye, كانيه
Kerem, كرم
Kısmet, قسمت
Kibar, كبار
Kubilay, قوبيلاى
Kudret, قدرت
Kürşat, كورشات
Lale, لاله
Leyla, لیلا
Lütfi, لطفي
Mahbub, محبوب
Mahire, ماهره
Mahmud, محمود
Maide, ماءده
Makbule, مَقبوله
Mecid, مجيد
Mecit, مجيد
Mediha, مَدیحه
Mehmed, محمد
Mehtab, مهتاب
Mehtap, مَهتاب
Melahat, ملاحت
Meliha, مليحه
Melike, مَلیکه
Melis, مَليس
Meltem, ملتم
Meral, مرال
Mersiye, مرثيه
Merve, مروه
Mesud, مسعود
Mete, مهته
Mihriban, مهربان
Mine, مينه
Miyase, مياسه
Muazzez, معزّز
Muhammed, محمّد
Murad, مراد
Musa, موسی
Mutlu, موتلو
Mübeccel, مبجّل
Mücevher, مجوهر
Mürüvvet, مروّت
Müsade, مصاده
Müzeyyen, مزيّن
Nadide, ناديده
Nalan, نالان
Narin, نارین
Naz, ناز
Nazife, نظيفه
Nazire, نَظیره
Nazlı, نازلى
Nazmiye, نظميه
Necdet, نجدت
Necmiye, نَجمیه
Nergis, نركس
Nesime, نَسیمه
Neslihan, نسليخان
Nevin, نوين
Nevriye, نوريه
Nevzat, نوزاد
Nezihe, نزيهه
Nigar, نِگار
Nihal, نهال
Nil, نیل
Nilay, نيلاي
Nilüfer, نیلوفر
Nilva, نيلوا
Nimet, نِعمت
Nuray, نوراى
Nurcan, نورجان
Nureddin, نورالدّين
Nuri, نوری
Nuriye, نوریه
Nurseli, نورسلى
Nurşen, نورشن
Nurten, نورتن
Nurullah, نور الله
Oğuz, اوغوز
Oğuzhan, اوغوزخان
Okan, اوقان
Olcay, اولجاى
Onur, اونور
Oruç, اوروچ
Orhan, اورخان
Oya, اويا
Ozan, اوزان
Önder, اوگدر
Özay, اوزاى
Özgünaz, اوزكو نا
Özgül, ازكل
Özgür, اوزكور
Öznur, اوزنور
Pakize, پاكيزه
Pelin, پلين
Pembe, پمبه
Perihan, پريخان
Pınar, پینار
Radiye, راضيه
Rahmet, رحمت
Rahmi, رحمى
Raziye, رازيه
Refika, رفيقه
Regaib, رغاءب
Regaip, رغاءب
Remziye, رمزيه
Resul, رسول
Reyhan, ریحان
Reyyan, ريّان
Rıdvan, رضوان
Ruhiye, روحيه
Rümeysa, رُميسا
Rüveyda, رويده
Saadet, سَعادت
Sabahat, صباحت
Sabiha, صبيحه
Sabire, صبيره
Sabriye, صبریه
Safvet, صفوت
Saffet, صفوت
Safiye, صَفیه
Saide, سعیده
Said, سعيد
Saime, صائمه
Samed, صمد
Samet, صمد
Sanem, صنم
Saniye, ثانيه
Satı, صاتى
Seçil, سچيل
Seda, صدا
Sedat, سداد
Sefa, سفا
Seher, سحر
Selahattin, صلاح الدين
Selahaddin, صلاحالدّين
Selçuk, سلچوق
Selda, سلدا
Selma, سِلما
Selvi, سلوى
Semahat, سماحت
Semih, سميح
Semiha, سميحه
Serap, سراب
Serdar, سردار
Serkan, سرقان
Sermet, سرمد
Sermin, سرمين
Serpil, سرپل
Servet, ثروت
Seval, سوال
Sevda, سودا
Sevgi, سَوكى
Sıddık, صِدیق
Sıddıka, صدّيقه
Sıdıka, صدّيقه
Sibel, سيبل
Sinan, سنان
Solmaz, صولماز
Soner, صوڭر
Songül, صوڭكل
Suna, صونا
Süheyla, سُهیلا
Sünbül, سُنبل
Şadiye, شادیه
Şafak, شفاق
Şafiye, شافيه
Şaheser, شاه أثر
Şaziye, شازيه
Şebnem, شبنم
Şehri, شهرى
Şenol, شنول
Şöhret, شهرت
Şükran, شكران
Şükriye, شكريه
Şükrü, شكرى
Tahsin, تحسین
Talha, طَلحه
Talia, طالعه
Taner, تاڭر
Tayyip, طَیب
Tayyib, طيّب
Tenzile, تنزيله
Teslime, تسليمه
Tuba, طوبی
Tufan, طوفان
Turhan, طورخان
Tülay, تولاى
Türkan, توركان
Ufuk, افق
Umut, اوموت
Ülfet, الفت
Ümran, عمران
Ünal, اونال
Vahide, واحده
Vahit, واحد
Vahid, واحد
Vasfiye, وصفيه
Vildan, ولدان
Yadigar, یادگار
Yaşar, یاشار
Yavuz, ياووز
Yelda, یَلدا
Yeliz, يليز
Yeşim, يشيم
Yıldıray, يلديراى
Yıldırım, ییلدیرم
Yıldız, ييلديز
Yüksel, يوكسل
Zahide, زاهده
Zennuriye, ذنّوريه
Zeyneb, زينب
Zeytin, زیتون
Zübeyde, زُبیده
Zühal, زحل
Zülal, زلال
Züleyha, زليخة
Zülfiye, زلفيه
Zülfü, زلفو
Ahmed Arif, احمد عارف
Arif Ahmet, عارف احمد
Arif Ahmed, عارف احمد
Abdulhamid, عبد الحميد
Ayşe gül, عائشة كل
Zehra Betül, زهرة بتول
Ertürk, ارتورك
Yakub, يعقوب
Seyit, سيد
Hadice, خديجة
Hafize, حفيظه
Mevlüde, مولوده
Fikri, فكري
Tayfun, طيفون
Hacı, حاجى
Güngör, كونكور
Adlar, آدلار
Oğlan Adı, اوغلان آدی ...
Ad, آد
Burçin, بورچین
İsimler, اسملر
Güzel, گوزل
Türkcenin, تركجه نك
Türkce, تركجه
bir, بر
iki, ایكی
üç, اوچ
dört, درت
beş, بش
altı, آلتی
yedi, یدی
sekiz, سكز
dokuz, طقوز
onbir, اون بر
oniki, اون ایکی
Fatih Sultan Mehmet, فاتح سلطان محمد
Maaş, معاش
Kelime, كلمه
Kainat, كائنات
istisna, استثناء
Irsi, ارثی
Sümeyye, سُمیه
Recep Tayyip, رجب طيّب
Yemuş, يه موش
Kamer, قمر
Kanaat, قناعة
Bülent, بلند
Eşref, اَشرف
Memnune, ممنونة
Rıza, رضا
Ali Rıza, علي رضا
Abdulferid, عبدالفريد
Ferid, فريد
Abdülferid, عبدالفريد
Eymen, ايمن
Necmeddin, نجم الدين
Necmettin, نَجم‌الدین
Sabri, صبری
Mehmet Sabri, محمد صبري
Güzide, كوزيده
Ahmet Mesut, أحمد مسعود
Haydar, حیدر
Muzaffer, مُظفر
Keriman, كريمان
Şeyhmus, شهموز
Şehmuz, شهموز
Temren, تمرن
Mülkinaz, ملكيناز
Kürşad, كورشاد
